Timestamp,Resistance,Interval,Temperature,OldTimestamp
2019-05-11 10:41:10.200,269,0.49776,31.16,1557571270200
2019-05-11 10:49:11.500,374,1.260992,30.65,1557571751500
2019-05-11 10:54:42.400,299,0.813008,30.98,1557572082400
2019-05-11 10:55:42.500,332,0.763232,31.0,1557572142500
2019-05-11 10:57:42.900,327,0.74664,31.06,1557572262900
2019-05-11 11:09:44.800,762,0.49776,29.14,1557572984800
2019-05-11 11:13:45.500,1618,0.8296,29.26,1557573225500
2019-05-11 11:16:46.000,1717,0.647088,29.76,1557573406000
2019-05-11 11:17:16.100,1321,0.74664,29.84,1557573436100
2019-05-11 11:23:47.100,956,0.796416,30.73,1557573827100
2019-05-11 11:28:17.900,870,0.763232,31.19,1557574097900
2019-05-11 11:31:18.400,876,0.696864,31.67,1557574278400
2019-05-11 11:35:49.100,785,0.730048,31.93,1557574549100
2019-05-11 11:36:49.300,747,0.8296,31.92,1557574609300
2019-05-11 11:38:19.500,2368,0.74664,30.52,1557574699500
2019-05-11 11:40:49.900,2045,0.796416,29.27,1557574849900
2019-05-11 11:43:50.400,2316,0.862784,28.92,1557575030400
2019-05-11 11:46:20.800,2316,0.879376,28.78,1557575180800
2019-05-12 03:08:52.100,6488,1.57624,27.25,1557630532100
2019-05-12 03:10:52.400,9981,0.862784,28.7,1557630652400
2019-05-12 03:11:22.500,7982,0.613904,28.95,1557630682500
2019-05-12 03:26:55.200,5234,0.564128,30.95,1557631615200
2019-05-12 04:02:31.000,1164,0.647088,32.15,1557633751000
2019-05-12 04:13:32.800,256,0.58072,31.57,1557634412800
2019-05-12 04:21:34.100,202,0.381616,31.26,1557634894100
2019-05-12 04:24:34.600,263,0.348432,30.63,1557635074600
2019-05-12 04:29:35.400,124,1.260992,29.27,1557635375400
2019-05-12 04:30:05.500,127,0.879376,29.22,1557635405500
2019-05-12 04:32:05.800,145,0.680272,29.52,1557635525800
2019-05-12 04:36:06.500,1105,0.630496,29.52,1557635766500
2019-05-12 04:37:06.700,958,0.680272,29.52,1557635826700
2019-05-12 04:38:36.900,1327,0.680272,29.85,1557635916900
2019-05-12 04:41:37.400,802,0.74664,30.18,1557636097400
2019-05-12 05:17:43.400,239,0.796416,30.71,1557638263400
2019-05-12 05:24:14.500,177,1.028704,30.58,1557638654500
2019-05-12 05:26:14.800,257,0.298656,30.18,1557638774800
2019-05-12 05:27:45.100,221,0.116144,29.24,1557638865100
2019-05-12 05:28:45.200,189,0.74664,29.3,1557638925200
2019-05-12 05:29:15.300,180,0.74664,29.38,1557638955300
2019-05-12 05:41:17.400,808,0.696864,29.96,1557639677400
2019-05-12 05:42:17.600,678,0.962336,29.65,1557639737600
2019-05-12 05:42:47.700,718,0.66368,29.52,1557639767700
2019-05-12 05:45:48.200,275,0.813008,29.44,1557639948200
2019-05-12 05:52:49.300,166,0.91256,29.83,1557640369300
2019-05-12 05:54:19.600,193,1.128256,29.95,1557640459600
2019-05-12 05:56:20.600,176,0.862784,30.1,1557640580600
2019-05-12 05:56:50.600,192,0.447984,30.28,1557640610600
2019-05-12 05:58:21.300,213,0.796416,30.68,1557640701300
2019-05-12 05:59:50.600,708,0.74664,31.0,1557640790600
2019-05-12 06:00:20.600,276,0.8296,31.04,1557640820600
2019-05-12 06:00:51.200,287,0.630496,31.13,1557640851200
2019-05-12 06:01:21.200,246,0.58072,31.15,1557640881200
2019-05-12 06:02:21.200,340330,0.66368,31.14,1557640941200
2019-05-12 06:03:51.200,681,0.74664,31.21,1557641031200
2019-05-12 06:04:21.700,507,0.813008,31.23,1557641061700
2019-05-12 06:04:51.800,531,0.199104,31.32,1557641091800
2019-05-12 06:06:51.800,1745,0.895968,31.23,1557641211800
2019-05-12 06:07:22.400,1079,0.713456,31.3,1557641242400
2019-05-12 06:07:52.400,1042,0.779824,31.34,1557641272400
